title,picture,url,media,press,campaign
‘I Had No Idea How Much Time I Would Get With My Newborn Son’,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.51.49.png,https://graziadaily.co.uk/life/parenting/giving-birth-in-prison-1/,graziadaily.co,Yes,PREGNANCY IN PRISON
I was pregnant in prison – the reality of it was devastating,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.23.13.png,https://www.huckmag.com/perspectives/i-was-pregnant-in-prison-the-reality-of-it-was-devastating/,huckmag.com,Yes,PREGNANCY IN PRISON
"When we jail a mother, we condemn her child too",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.24.11.png,https://www.telegraph.co.uk/women/life/jail-mother-condemn-child/,telegraph.co,Yes,PREGNANCY IN PRISON
‘The whole experience was traumatic’: The reality of pregnancy in prison’,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.25.08.png,https://www.telegraph.co.uk/women/life/whole-experience-traumatic-reality-pregnancy-prison/,telegraph.co,Yes,
I Thought I Had Miscarried & I Was In Handcuffs: Why We Need To Stop Imprisoning Pregnant Women,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.26.24.png,Why We Need To Stop Imprisoning Pregnant Women,refinery29.com,Yes,PREGNANCY IN PRISON
Should pregnant women really be sent to prison? How the criminal justice system is failing mums-to-be,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.27.24.png,https://www.cosmopolitan.com/uk/reports/a37988401/pregnant-prison/,cosmopolitan.com,Yes,PREGNANCY IN PRISON
Pregnant in prison: What it’s like to be an expecting mum behind bars in the UK,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.28.12.png,https://www.glamourmagazine.co.uk/article/pregnant-in-prison,glamoutmagazine.co,Yes,PREGNANCY IN PRISON
Birth behind bars: one woman shares her story as campaigners fight to end sentencing for pregnant women,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.28.58.png,https://www.stylist.co.uk/health/birth-behind-bars-pregnant-women/567488,stylist.co,Yes,PREGNANCY IN PRISON
It’s 2021 – so why are women still birthing behind bars in Britain?,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.29.44.png,https://flockmag.com/its-2021-so-why-are-women-still-birthing-behind-bars-in-britain/,flockmag.com,Yes,PREGNANCY IN PRISON
Breastfeeding mums demand end to prison for pregnant women in protest,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.30.37.png,https://metro.co.uk/2022/06/07/breastfeeding-mums-demand-end-to-prison-for-pregnant-women-in-protest-16786214/,metro.co.uk,Yes,PREGNANCY IN PRISON
Mothers and babies join protest against UK imprisonment of pregnant womenThis article is more than 3 mo,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.31.23.png,https://www.theguardian.com/society/2022/mar/28/female-former-inmates-protest-uk-imprisonment-pregnant-women,theguardian.com,Yes,
New Petition Calls For Lye Hair Relaxers To Be Taken Off UK Shelves,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.32.07.png,https://www.bustle.com/wellness/the-no-more-lyes-hair-relaxer-petition-explained,bustle.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Campaign calls on beauty giants to remove cancer-causing chemical from black women’s hair products,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.32.48.png,No URL,cosmeticsbusiness.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
#NoMoreLyes: the campaign that wants to put an end to toxic hair products marketed towards Black women,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.34.02.png,https://gal-dem.com/nomorelyes-campaign-to-end-toxic-hair-products-marketed-towards-black-women/,gal-dem.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Hair relaxers could be harming Black women – we’re calling on big brands to stop selling them,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.34.49.png,https://www.google.com/url?q=https://inews.co.uk/opinion/hair-relaxers-harming-black-women-big-brands-stop-selling-them-1163725&sa=D&source=editors&ust=1658151162872737&usg=AOvVaw0EHvMRKli5FU7W3_auVr1C,inews.co,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Campaign urges beauty firms to pull ‘toxic’ hair products aimed at Black women,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.35.24.png,https://www.independent.co.uk/news/uk/home-news/black-hair-lye-no-more-lyes-b1893747.html,independent.co,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Majority of Black women experienced ‘scalp burns or hair loss’ from using relaxer,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.36.00.png,https://metro.co.uk/2022/05/24/calls-for-brands-to-remove-dangerous-lye-from-black-hair-products-16697851/,metro.co.uk,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
"MAJORITY OF BLACK BRITISH WOMEN SUFFER SIDE EFFECTS FROM HAIR RELAXERS SUCH AS BURNT SCALP, STUDY FINDS",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.36.51.png,https://www.independent.co.uk/life-style/black-hair-relaxers-side-effects-b2085554.html,independetnt.co,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
FA and Premier League urged to help tackle gender-based violenceThis article is more than 5 mo,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-14.37.43.png,https://www.theguardian.com/society/2022/feb/05/fa-and-premier-league-urged-to-help-tackle-gender-based-violence,theguardian.com,Yes,
Cristiano Ronaldo: plane banner protest as striker returns to Manchester United,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.06.13.png,https://www.theguardian.com/football/2021/sep/11/cristiano-ronaldo-plane-banner-protest-as-striker-returns-to-manchester-united,theguardian.com,Yes,SEXUAL VIOLENCE IN FOOTBALL
Cristiano Ronaldo’s Manchester United homecoming is disrupted by feminist protestors flying a banner reading ‘Believe Kathryn Mayorga’ over Old Trafford amid ongoing legal case regarding rape allegations,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.07.26.png,https://www.google.com/url?q=https://www.dailymail.co.uk/sport/sportsnews/article-9980479/Cristiano-Ronaldos-Manchester-United-homecoming-met-feminist-protest-flying-banner.html&sa=D&source=editors&ust=1658311603703940&usg=AOvVaw0d63BJu4sJIOmwEcI-1WOL,dailymail.co,Yes,SEXUAL VIOLENCE IN FOOTBALL
Cristiano Ronaldo protestors fly banner in support of rape accuser over Man Utd debut,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.08.10.png,No URL,mirror.co,Yes,SEXUAL VIOLENCE IN FOOTBALL
Banner flown over Cristiano Ronaldo’s Man United return in support of woman who accused him of rape,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.09.10.png,https://www.espn.co.uk/football/manchester-united-engman_utd/story/4472367/banner-flown-over-cristiano-ronaldos-man-united-return-in-support-of-woman-who-accused-him-of-rape,espn.co,Yes,SEXUAL VIOLENCE IN FOOTBALL
Cristiano Ronaldo: Plane protest over sex assault claim,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.10.12.png,https://www.bbc.co.uk/news/uk-england-manchester-58528893,bbc.com,Yes,SEXUAL VIOLENCE IN FOOTBALL
Concerned United fan behind protest at Old Trafford,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.11.12.png,https://www.thetimes.co.uk/article/concerned-united-fan-behind-protest-at-old-trafford-mt28z3z5j,thetimes.co.uk,Yes,SEXUAL VIOLENCE IN FOOTBALL
Plane with sign reading ‘Believe Kathryn Mayorga’ flies over Manchester United stadium,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.12.24.png,https://www.independent.co.uk/sport/football/manchester-united-believe-kathryn-mayorga-plane-b1918413.html,independent.co.uk,Yes,SEXUAL VIOLENCE IN FOOTBALL
Ronaldo plane protest: Feminist group flies banner over Old Trafford,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-20-at-11.12.52.png,https://www.joe.co.uk/sport/ronaldo-plane-protest-feminist-group-flies-banner-over-old-trafford-288480,joe.co.uk,Yes,SEXUAL VIOLENCE IN FOOTBALL
